"P01.Relev";"P01.Exist";"P02.Relev";"P02.Exist";"P03.Relev";"P03.Exist";"P04.Relev";"P04.Exist";"P05.Relev";"P05.Exist";"P06.Relev";"P06.Exist";"P07.Relev";"P07.Exist";"P08.Relev";"P08.Exist";"P09.Relev";"P09.Exist";"P10.Relev";"P10.Exist"
"P01.Relev";1;0,134568391204877;NA;-0,38112741077138;-0,142857142857143;0;0,302613766334401;0,0335389235452769;-0,181568259800641;-0,239045721866879;NA;-0,349005030448267;-0,181568259800641;-0,209821727265563;-0,202610224618277;-0,203653269990639;0,683130051063973;0,165395353925991;0,152894157431288;-0,312640945658523
"P01.Exist";0,134568391204877;1;NA;0,533081271559807;0,134568391204877;0,587426950807682;0,17103344030669;0,389646418971967;-0,133026009127425;0,300234650016321;NA;0,133937351895448;-0,133026009127425;0,649413562392972;-0,0127236349186521;0,106576139079872;0,0919277119553843;0,46739672050222;-0,0160025606145639;0,596553558009422
"P02.Relev";NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"P02.Exist";-0,38112741077138;0,533081271559807;NA;1;0,173239732168809;0,194461117065649;-0,0146789237925026;0,154553291916891;-0,0146789237925026;0,463816828521959;NA;0,272748715868583;-0,0146789237925026;0,370764490313768;0,0884523554397821;0,181108301468867;-0,260359587582133;0,494742608358065;-0,0865253200863353;0,425795338708348
"P03.Relev";-0,142857142857143;0,134568391204877;NA;0,173239732168809;1;0;0,302613766334401;0,301850311907492;0,302613766334401;0,239045721866879;NA;0,271448357015318;0,302613766334401;0,269770792198581;0,769918853549452;0,339422116651065;-0,0975900072948533;0,165395353925991;0,560611910581388;0,264542338634135
"P03.Exist";0;0,587426950807682;NA;0,194461117065649;0;1;0,11322770341446;0,439219063596711;-0,339683110243379;0,335410196624969;NA;0,362738125055006;-0,11322770341446;0,616849369501249;-0,0758098043578903;0,381000381000571;-0,182574185835055;0,103142124625879;-0,0953462589245592;0,674881905998771
"P04.Relev";0,302613766334401;0,17103344030669;NA;-0,0146789237925026;0,302613766334401;0,11322770341446;1;-0,0710453798098643;0,58974358974359;0,202547873416733;NA;0,0821440096816907;0,58974358974359;0,342872692991757;0,566528822887065;0,546437443115898;-0,124034734589208;0,116785458966763;0,367058489524401;0,336227444485742
"P04.Exist";0,0335389235452769;0,389646418971967;NA;0,154553291916891;0,301850311907492;0,439219063596711;-0,0710453798098643;1;-0,29839059520143;0,224485413306525;NA;0,154769456771272;-0,0710453798098643;0,218153040935828;0,123674984759941;0,494059195025228;0,206203018987041;0,220038224492691;0,155546465517094;0,434750798227011
"P05.Relev";-0,181568259800641;-0,133026009127425;NA;-0,0146789237925026;0,302613766334401;-0,339683110243379;0,58974358974359;-0,29839059520143;1;0,405095746833467;NA;0,345004840663101;0,58974358974359;0,342872692991757;0,566528822887065;0,316358519698678;-0,124034734589208;0,116785458966763;0,367058489524401;0,173208077462352
"P05.Exist";-0,239045721866879;0,300234650016321;NA;0,463816828521959;0,239045721866879;0,335410196624969;0,202547873416733;0,224485413306525;0,405095746833467;1;NA;0,77866282142766;0,405095746833467;0,601883835090623;0,406838102172486;0,454369467397652;0;0,276759362408666;0,341121146168977;0,48290618195132
"P06.Relev";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
"P06.Exist";-0,349005030448267;0,133937351895448;NA;0,272748715868583;0,271448357015318;0,362738125055006;0,0821440096816907;0,154769456771272;0,345004840663101;0,77866282142766;NA;1;0,0821440096816907;0,398690341926474;0,208993207831116;0,313260958058618;-0,238415824271708;-0,0149654323603925;0,0415028678319645;0,332935340213138
"P07.Relev";-0,181568259800641;-0,133026009127425;NA;-0,0146789237925026;0,302613766334401;-0,11322770341446;0,58974358974359;-0,0710453798098643;0,58974358974359;0,405095746833467;NA;0,0821440096816907;1;0,342872692991757;0,841209464286854;0,546437443115898;-0,124034734589208;-0,0700712753800578;0,712525303194425;0,336227444485742
"P07.Exist";-0,209821727265563;0,649413562392972;NA;0,370764490313768;0,269770792198581;0,616849369501249;0,342872692991757;0,218153040935828;0,342872692991757;0,601883835090623;NA;0,398690341926474;0,342872692991757;1;0,382608245619635;0,441552435684732;-0,143335527261255;0,381738927266957;0,310111656610109;0,872969487625985
"P08.Relev";-0,202610224618277;-0,0127236349186521;NA;0,0884523554397821;0,769918853549452;-0,0758098043578903;0,566528822887065;0,123674984759941;0,566528822887065;0,406838102172486;NA;0,208993207831116;0,841209464286854;0,382608245619635;1;0,558415577316077;-0,138409133089567;0,0469151057336703;0,795099935886035;0,375192878561945
"P08.Exist";-0,203653269990639;0,106576139079872;NA;0,181108301468867;0,339422116651065;0,381000381000571;0,546437443115898;0,494059195025228;0,316358519698678;0,454369467397652;NA;0,313260958058618;0,546437443115898;0,441552435684732;0,558415577316077;1;-0,324617227032118;0,235783132678011;0,314833661802714;0,697108713878726
"P09.Relev";0,683130051063973;0,0919277119553843;NA;-0,260359587582133;-0,0975900072948533;-0,182574185835055;-0,124034734589208;0,206203018987041;-0,124034734589208;0;NA;-0,238415824271708;-0,124034734589208;-0,143335527261255;-0,138409133089567;-0,324617227032118;1;0,263635252004148;0,382970843102535;-0,345004840663101
"P09.Exist";0,165395353925991;0,46739672050222;NA;0,494742608358065;0,165395353925991;0,103142124625879;0,116785458966763;0,220038224492691;0,116785458966763;0,276759362408666;NA;-0,0149654323603925;-0,0700712753800578;0,381738927266957;0,0469151057336703;0,235783132678011;0,263635252004148;1;0,216352745853381;0,399090187629317
"P10.Relev";0,152894157431288;-0,0160025606145639;NA;-0,0865253200863353;0,560611910581388;-0,0953462589245592;0,367058489524401;0,155546465517094;0,367058489524401;0,341121146168977;NA;0,0415028678319645;0,712525303194425;0,310111656610109;0,795099935886035;0,314833661802714;0,382970843102535;0,216352745853381;1;0,197332225855434
"P10.Exist";-0,312640945658523;0,596553558009422;NA;0,425795338708348;0,264542338634135;0,674881905998771;0,336227444485742;0,434750798227011;0,173208077462352;0,48290618195132;NA;0,332935340213138;0,336227444485742;0,872969487625985;0,375192878561945;0,697108713878726;-0,345004840663101;0,399090187629317;0,197332225855434;1
