"position";"variable.name";"mean";"sd";"median"
1;"P06.exist.comite";3,46666666666667;0,639940473422184;4
2;"P02.exist.alin.estr";3,4;0,632455532033676;3
3;"P05.exist.espec.dir";3,06666666666667;0,79880863671798;3
4;"P09.exist.envolvimento";2,93333333333333;0,883715101688537;3
5;"P10.exist.sis.com.trans";2,73333333333333;1,03279555898864;2
6;"P07.exist.portifolio";2,6;0,828078671210825;3
7;"P03.exist.desemp.exist";2,53333333333333;0,743223352957207;3
8;"P04.exist.conformidade";2,53333333333333;0,743223352957207;2
9;"P01.exist.riscos";2,2;0,560611910581388;2
10;"P08.exist.aval.uso";2,13333333333333;0,743223352957207;2
